module,page_id,type,title,subtitle,description
1,1,video,Línguas latinas,Ataliba Castilho,
1,2,video,Enfraquecimento do Império Romano,Ataliba Castilho,
1,3,video,O Império Romano,Luiz Marques,
1,4,video,O sistema político Romano,Luiz Marques,
1,5,imagens,Em cartaz: os romanos no cinema.,,"Passados 2 mil anos, o Império Romano ainda nos interessa. Mesmo extinto, ele continua vivo em nosso imaginário. Seu incrível poderio, suas guerras brutas, suas intrigas políticas, tudo nos fascina em sua história remota. Julio César, por exemplo, é re-assassinado todos os anos em algum ponto do planeta, numa encenação da peça de William Shakespeare. E o cinema de Hollywood continua apaixonado pelo tema. Mesmo já tendo realizado dezenas de filmes como Spartacus ou Gladiador, a cada poucos anos surge uma nova superprodução do gênero. Os antigos romanos ainda garantem uma boa bilheteria."
2,1,video,A influência dos árabes no mundo ibérico,Darcy Ribeiro e Roberto Pinho,
2,2,video,A língua na expansão do mundo árabe,Adalberto Alves,
2,3,video,As heranças dos árabes no Novo Mundo,Antonio Risério,
2,4,video,“Ai Mouraria”,por Amália Rodrigues,
3,1,video,Os primórdios da língua portuguesa,Ataliba de Castilho,
3,2,video,Cantigas de Santa Maria,,
3,3,video,A formação de Portugal,Judith Cortesão e Roberto Pinho,
3,4,video,Cantigas de amigo,José Miguel Wisnik,
3,5,video,Cantiga de amigo e iluminuras,,
3,6,video,"“D. Diniz”, de Fernando Pessoa",Carminho,
4,1,video,O português nas grandes navegações,Ataliba Castilho,
4,2,video,Os impactos das grandes navegações;,Ronaldo Vainfas,
4,3,video,"“Os Lusíadas”, de Luis de Camões",Tom Zé,
4,4,video,"“Os argonautas"", de Caetano Veloso",Maria Bethânia,
4,5,video,"“Padrão”, de Fernando Pessoa",Caetano Veloso,
5,1,video,“Carta de Pero Vaz de Caminha” ,Jorge Mautner,
5,2,video,O achamento do Brasil ,Ronaldo Vainfas,
5,3,video,A invasão ,Ailton Krenak,
5,4,video,O Brasil de 1519: mapa de Lopo Homem ,Matheus Nachtergaele,
6,1,video,As línguas indígena do Brasils,Ana Suelly Arruda Câmara,
6,2,video,A antropofagia,Manuela Carneiro da Cunha,
6,3,video,Língua geral,Aryon Rodrigues,
6,4,video,O movimento indígena,Davi Kopenawa,
7,1,video,"""Feitio de Oração"", de Noel Rosa",Aracy de Almeida,
7,2,video,"“Desde que o Samba é Samba”, de Caetano Veloso",Gilberto Gil e José Gil,
7,3,video,"“Corra e Olhe o Céu”, de Cartola e Dalmo Castello",Cartola,
7,4,video,“Atraca Atraca”; “Beira Mar”,Clementina de Jesus,
8,1,video,"“Cartas chilenas”, de Tomás Antônio Gonzaga",Caco Ciocler,
8,2,video,"“Paixão e Fé”, de Tavinho Moura e Fernando Brant ",Milton Nascimento,
8,3,video,A proibição das línguas gerais,José Ribamar Bessa Freire,
8,4,video,A política do Marquês de Pombal,Célia Tavares,
8,5,video,"“Acalanto de Ouro Preto”, de Murilo Mendes",Tom Zé,
8,6,imagens,Expansão do território brasileiro no século XVIII,,Sequência de mapas antigos mostram a expansão do território brasileiro no século XVIII
9,1,video,"“Marília de Dirceu”, de Tomás Antônio Gonzaga",Caco Ciocler,
9,2,video,A língua na construção de uma identidade brasileira,José Luiz Fiorin,
9,3,video,"Escritos de Luiz Gonçalves dos Santos, o “Padre Perereca”",Matheus Nachtergaele,
9,4,imagens,Biblioteca Real de D. João,,"Importantes livros originários da Biblioteca Real de D. João e que, atualmente, pertencem ao acervo Fundação Biblioteca Nacional/FBN."
9,5,video,A escolaridade no Brasil Colônia,Luiz Carlos Villalta,
10,1,video,A interferência das línguas africanas no português,Yeda Pessoa de Castro,
10,2,video,A escravidão e seus impactos ,Luiz Felipe de Alencastro,
10,3,video,O retorno de escravizados,Manuela Carneiro da Cunha,
10,4,video,O candomblé e os orixás,Stella de Oxóssi,
10,5,video,"Audiovisual sobre o lukumí, língua de base iorubá utilizada como língua ritual em Cuba.",,
10,6,video,"Dorival Caymmi e Carmen Miranda cantam ""A preta do acarajé"".",,
11,1,video,Imigração italiana,Nora Ronai,
11,2,video,Imigração polonesa ,Tomasz Lychowski,
11,3,video,Imigração árabe,Kamal Kalaoun,
11,4,video,Imigração alemã ,Barbara Hepp,
11,5,video,Imigração japonesa,Sachimi e Hiroshi Higuchi,
11,6,video,"“Sodades de Zan Paolo”, de Juó Bananére",Denise Fraga,
11,7,video,As imigrações,Boris Fausto,
